"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log2FoldChange","Symbol"
"OCIAD2",1.00542242127419e-13,0.433379250257407,0.53,0.317,2.65200272059493e-09,0.433379250257407,"OCIAD2"
"ADH1C",1.06551343513873e-13,-0.750632296501841,0.254,0.438,2.81050478786543e-09,-0.750632296501841,"ADH1C"
"AKR1C1",1.09679053574111e-13,-0.523803511969392,0.79,0.883,2.89300439612433e-09,-0.523803511969392,"AKR1C1"
"HIST1H4C",1.12342568591517e-13,-0.498958942129164,0.36,0.53,2.96325993173843e-09,-0.498958942129164,"HIST1H4C"
"COX14",1.37058777311352e-13,0.408915507896688,0.536,0.331,3.61519936914152e-09,0.408915507896688,"COX14"
"FOXN3",1.75688334688366e-13,-0.303744213124757,0.345,0.562,4.63413120407502e-09,-0.303744213124757,"FOXN3"
"SHFM1",1.85474537117421e-13,0.411337348340173,0.698,0.527,4.8922618655462e-09,0.411337348340173,"SHFM1"
"FAM96B",1.88815590863422e-13,0.381111746533603,0.413,0.192,4.98038884020450e-09,0.381111746533603,"FAM96B"
"REEP5",1.99501167121401e-13,0.404059628260841,0.629,0.434,5.2622422851612e-09,0.404059628260841,"REEP5"
"DDIT4",2.00003295463568e-13,0.759433273187423,0.777,0.644,5.27548692444254e-09,0.759433273187423,"DDIT4"
"TMBIM6",2.25564207587634e-13,0.378376585081735,0.934,0.904,5.94970710353902e-09,0.378376585081735,"TMBIM6"
"UQCC2",2.31441891755713e-13,0.397410647257107,0.536,0.31,6.10474277884044e-09,0.397410647257107,"UQCC2"
"WNT5A",2.4523559172995e-13,-0.330635011905864,0.105,0.253,6.4685792030609e-09,-0.330635011905864,"WNT5A"
"ABHD2",2.79127885486423e-13,0.360551132012608,0.344,0.128,7.36255623547539e-09,0.360551132012608,"ABHD2"
"SCGB3A1",3.09894650385606e-13,-0.454435613745142,0.987,0.986,8.17409119322112e-09,-0.454435613745142,"SCGB3A1"
"ST6GAL1",3.55253706306945e-13,0.56748088460726,0.541,0.338,9.37052701125829e-09,0.56748088460726,"ST6GAL1"
"EIF5",4.07357869889729e-13,0.380757413484997,0.46,0.238,1.07448785340814e-08,0.380757413484997,"EIF5"
"TGM2",4.23309549997515e-13,-0.379298484228065,0.399,0.601,1.11656360002844e-08,-0.379298484228065,"TGM2"
"RPL36A",4.27806755077654e-13,-0.433882910828433,0.642,0.786,1.12842587786833e-08,-0.433882910828433,"RPL36A"
"HLA-DQA1",4.59750733676643e-13,-0.314441552442065,0.179,0.367,1.21268451021888e-08,-0.314441552442065,"HLA-DQA1"
"DAD1",4.69573095940855e-13,0.429336240709467,0.681,0.548,1.23859295516319e-08,0.429336240709467,"DAD1"
"CYB5A",4.91432374116375e-13,-0.309868147145601,0.983,0.996,1.29625117320676e-08,-0.309868147145601,"CYB5A"
"MUC1",5.22439231895842e-13,0.427855091855287,0.929,0.822,1.37803796197166e-08,0.427855091855287,"MUC1"
"COX6B1",6.53585145454318e-13,0.36868568566513,0.863,0.762,1.72396153816486e-08,0.36868568566513,"COX6B1"
"FAM107A",7.47623105198006e-13,-0.256033156337252,0.044,0.149,1.97200546458078e-08,-0.256033156337252,"FAM107A"
"MT-ATP8",8.14794942815619e-13,0.322034227379204,0.983,0.961,2.14918462066476e-08,0.322034227379204,"MT-ATP8"
