Compound ID	SMILES
KV-00041043	CCOC(=O)/C(C#N)=C(/SC)N(C)C
KV-00041044	O=C(Nc1ccccc1)Nc1nc2ccccc2s1
KV-00041045	CC1(C)OC[C@@H]([C@H](O)[C@H](O)[C@H]2COC(C)(C)O2)O1
KV-00041046	O=C(Nc1ccccc1[N+](=O)[O-])c1ccccc1
KV-00041047	CCOC(=O)C1=C(C)N(C)C(=O)NC1c1ccccc1Cl
KV-00041048	CC(=O)OC[C@H]1O[C@@H](Oc2ccccc2)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O
KV-00041049	COc1ccc(C(=O)/C=C/Sc2ncc(C(F)(F)F)cc2Cl)cc1
KV-00041050	CSC(=NS(=O)(=O)c1ccc(C)cc1)SC
KV-00041051	Cc1c(NC(=O)CCC(=O)O)c(=O)n(-c2ccccc2)n1C
KV-00041052	CC1=C/C(=N/c2c(C)n(C)n(-c3ccccc3)c2=O)C=CC1=O
KV-00041053	CC(=O)n1c2ccc(Br)cc2c2cc(Br)ccc21
KV-00041055	O=C(O)C(F)(F)C12OC3C4C5CC(C6C5C3C61)C42
KV-00041056	CC1(C)OC(=O)C(C2C3CC4CC(C3)CC2C4)C(=O)O1
KV-00041057	CCC(=O)c1ccc(NC(C)=O)cc1O
KV-00041058	COc1ccc2c(=O)c(-c3ccccc3)coc2c1
KV-00041059	CCOC(=O)CCSc1nnc(S)s1
KV-00041060	O=C(Cc1ccccc1)c1ccc(O)cc1
KV-00041061	O=C(O)C(C(=O)O)=C1C2CC3CC(C2)CC1C3
KV-00041063	O=C(O)c1cccc2cccc(Br)c12
KV-00041064	OC(CN1CCCCCC1)Cn1c2ccccc2c2ccccc21
KV-00041065	O=c1c2cc3c(=O)n(CCO)c(=O)c3cc2c(=O)n1CCO
KV-00041066	Cc1ccc(NC(=O)CCC(=O)O)cc1
KV-00041067	CC(=O)OC[C@H]1O[C@@H](Nc2ccc(C)cc2)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O
KV-00041068	CC(=O)c1ccc(N/C=C/C(=O)c2ccc(F)cc2)cc1
KV-00041069	CC(C)S[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
KV-00041070	CC(=O)Oc1cc2sc(=O)oc2c2ccccc12
KV-00041072	OC[C@H]1O[C@@H](Sc2ccccc2)[C@H](O)[C@@H](O)[C@H]1O
KV-00041073	CCSc1ncc(-c2nnnn2-c2ccccc2)c(-c2ccccc2)n1
KV-00041074	CC(=O)OC[C@H]1O[C@@H](N2CCCCC2)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O
KV-00041075	COC(=O)CCC(=O)Nc1ccc(C)cc1
KV-00041076	Cc1ccc(S(=O)(=O)Nc2ccc(N(C)S(=O)(=O)c3ccc(C)cc3)cc2)cc1
KV-00041077	CCN(CC)CC(O)Cn1c2ccc(Br)cc2c2cc(Br)cc(Br)c21
KV-00041078	OC(COc1ccccc1)CN1CCNCC1
KV-00041079	O=[N+]([O-])CC12OC3C4C5CC(C6C5C3C61)C42
KV-00041080	CCOC(=O)c1cccc2c1-c1ccccc1C2=O
KV-00041081	COc1ccc(CC(=O)c2ccc(OC)cc2O)cc1
KV-00041082	CCOC(=O)CCCSc1nnc(S)s1
KV-00041083	NC(=O)c1nn(-c2ccccc2)c(=O)cc1O
KV-00041084	O=c1c(Cc2ccccc2)coc2ccccc12
KV-00041085	CCCCOC(=O)c1cccc2c1-c1ccccc1C2=O
KV-00041086	OCC1(CO)C2C3C4CC5C6C4C2C6C1C53
KV-00041087	Clc1ccc(Cl)c(OCCOc2cc(Cl)ccc2Cl)c1
KV-00041088	OC(CN1CCOCC1)Cn1c2ccc(Br)cc2c2cc(Br)cc(Br)c21
KV-00041089	O=C1Cc2ccccc2C(c2ccccc2)N1
KV-00041090	NS(=O)(=O)c1ccc(NC(=O)CCC(=O)O)cc1
KV-00041091	O=C1C(Cl)=C(c2ccccc2)N(c2ccccc2)C(=O)C1(F)c1ccccc1
KV-00041092	COc1ccc(-n2nnnc2/C(=C/N(C)C)C(=O)c2ccc(Cl)cc2)cc1
