"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log2FoldChange","Symbol"
"WNT5A",2.91173127957725e-07,0.368871603115201,0.159,0.02,0.00768027359614091,0.368871603115201,"WNT5A"
"RAC1",3.08117652890624e-07,0.37799922655042,0.952,0.888,0.00812721933029598,0.37799922655042,"RAC1"
"RPS24",3.25070534468783e-07,-0.393668729048567,0.995,0.995,0.0085743854876831,-0.393668729048567,"RPS24"
"COL18A1",3.4910597310868e-07,0.419383348189035,0.465,0.276,0.00920836825268765,0.419383348189035,"COL18A1"
"ENC1",3.52883146941179e-07,0.463363292402311,0.326,0.148,0.00930799876686749,0.463363292402311,"ENC1"
"LDHB",3.54631765607271e-07,-0.360205973913636,0.694,0.816,0.00935412208142298,-0.360205973913636,"LDHB"
"RPS3",3.75794858323442e-07,-0.38645651604815,0.989,0.995,0.00991234097799744,-0.38645651604815,"RPS3"
"RPL22",4.15816109636815e-07,-0.374611450032384,0.974,0.99,0.0109679815238903,-0.374611450032384,"RPL22"
"TMEM120A",4.19843755043875e-07,-0.314958469278114,0.18,0.337,0.0110742187267923,-0.314958469278114,"TMEM120A"
"TMEM98",4.49358965186386e-07,0.396428317250547,0.518,0.327,0.0118527414247213,0.396428317250547,"TMEM98"
"USMG5",4.96781680185695e-07,-0.351632710151456,0.72,0.842,0.0131036103782581,-0.351632710151456,"USMG5"
"GPNMB",4.96802897672568e-07,0.426175855228958,0.338,0.153,0.0131041700319093,0.426175855228958,"GPNMB"
"RUNX1",5.8143097765846e-07,0.363286690137143,0.406,0.204,0.0153364048976972,0.363286690137143,"RUNX1"
